apps/iot/iot/iot/doctype/iot_device_error/iot_device_error.js +7,Resend,
DocType: IOT Share Group,Role,
DocType: IOT Device,SN,
apps/iot/iot/config/website.py +11,Settings for IOT Cloud homepage,
DocType: IOT Share Group,Shared Device List,
DocType: IOT Share Group,Shared To Users,
DocType: IOT Device Error,Status,
DocType: IOT Homepage,System Manager,
DocType: IOT Homepage,TItle,
DocType: IOT Homepage,Tag Line,
,Test Page,
apps/iot/iot/iot_portal/doctype/iot_homepage/iot_homepage.py +13,This is an example website auto-generated from IOT,
apps/iot/iot/iot/doctype/iot_device_bunch/iot_device_bunch.py +63,Update device bunch code {0} name to {1},
DocType: IOT Device Bunch,User,
apps/iot/iot/templates/pages/iot_me.html +23,Username,
apps/iot/iot/hdb_api.py +84,Username password is not matched!,
DocType: IOT Share Group,Users,
DocType: IOT Error Type,Value,
DocType: IOT Device Error,Wechat Notify,
apps/iot/iot/iot/doctype/iot_device_bunch/iot_device_bunch.py +28,You are not an IOT User,
apps/iot/iot/iot/doctype/iot_device/iot_device.py +167,Your Devices,
apps/iot/iot/templates/pages/iot_device_bunch.py +42,Your IOT Account,
DocType: IOT Device,hdb,
